id,name,brand,category,price_inr,skin_type,skin_tone,concerns,key_ingredients,budget_tier,rating,dupe_of
P050,Matte Velvet Lipstick - Rosewood,Velvet & Vine,Lipstick,599,All,All,,Vitamin E|Jojoba Oil,Mid,4.5,
P051,Matte Velvet Lipstick - Brick Red,Velvet & Vine,Lipstick,599,All,All,,Vitamin E|Jojoba Oil,Mid,4.4,
P052,Hydrating Tinted Balm - Guava,NudeNectar,Lipstick,299,All,All,Dryness,Shea Butter|Guava Extract,Budget,4.2,
P053,Luxe Satin Lipstick - Mauve Nude,Luminate,Lipstick,1650,All,All,,Shea Butter|Vitamin E,Premium,4.6,
P054,Satin Nude Lipstick - Mauve,Velvet & Vine,Lipstick,549,All,All,,Shea Butter|Vitamin E,Mid,4.3,P053
P055,Overnight Lip Sleeping Mask,PureBloom,Lip Balm,349,All,All,Dryness,Shea Butter|Honey,Budget,4.4,
P056,SPF 15 Daily Lip Balm,Bare Essentials,Lip Balm,199,All,All,Dryness|Pigmentation,Zinc Oxide|Beeswax,Budget,4.1,
P057,Ceramide Repair Lip Balm,DermaRoot,Lip Balm,450,Dry|Sensitive,All,Dryness|Sensitivity,Ceramides|Shea Butter,Budget,4.3,
P058,Volumizing Curl Mascara,Hueberry,Mascara,549,All,All,,Castor Oil|Beeswax,Mid,4.4,
P059,Waterproof Lengthening Mascara,NudeNectar,Mascara,399,All,All,,Fiber Complex|Vitamin E,Budget,4.2,
P060,Luxe Lash Volumizer,Luminate,Mascara,1250,All,All,,Keratin|Castor Oil,Premium,4.5,
P061,Precision Felt-Tip Eyeliner,Hueberry,Eyeliner,349,All,All,Sensitivity,Vitamin E,Budget,4.3,
P062,Smudge-Proof Gel Eyeliner,Velvet & Vine,Eyeliner,499,All,All,,Beeswax|Carnauba Wax,Mid,4.2,
P063,Kohl Kajal Pencil,NudeNectar,Eyeliner,149,Sensitive,All,Sensitivity,Castor Oil|Vitamin E,Budget,4.1,
P064,Cocoa Butter Deep Moisture Lotion,Bare Essentials,Body Lotion,399,Dry,All,Dryness,Cocoa Butter|Vitamin E,Budget,4.3,
P065,Niacinamide Brightening Body Lotion,Skinly,Body Lotion,549,All,All,Dullness|Pigmentation,Niacinamide|Glycerin,Budget,4.2,
P066,Silk Protein Body Butter,Luminate,Body Lotion,1450,Dry|Sensitive,All,Dryness|Sensitivity,Silk Proteins|Shea Butter,Premium,4.6,
